CountryCode,D_DATE,C_DESC,F_WORKDAY
CN,2015-09-06,纪念日调休,1
CN,2015-09-27,中秋节,0
CN,2015-10-01,国庆节,0
CN,2015-10-02,国庆节,0
CN,2015-10-03,国庆节,0
CN,2015-10-04,国庆节,0
CN,2015-10-05,国庆节,0
CN,2015-10-06,国庆节,0
CN,2015-10-07,国庆节,0
CN,2015-10-10,国庆调休,1
CN,2016-01-01,元旦,0
CN,2016-01-02,元旦,0
CN,2016-01-03,元旦,0
CN,2016-02-06,春节调休,1
CN,2016-02-07,春节,0
CN,2016-02-08,春节,0
CN,2016-02-09,春节,0
CN,2016-02-10,春节,0
CN,2016-02-11,春节,0
CN,2016-02-12,春节,0
CN,2016-02-13,春节,0
CN,2016-02-14,春节调休,1
CN,2016-04-02,清明节,0
CN,2016-04-03,清明节,0
CN,2016-04-04,清明节,0
CN,2016-04-30,劳动节,0
CN,2016-05-01,劳动节,0
CN,2016-05-02,劳动节,0
CN,2016-06-09,端午节,0
CN,2016-06-10,端午节,0
CN,2016-06-11,端午节,0
CN,2016-06-12,端午调休,1
CN,2016-09-15,中秋节,0
CN,2016-09-16,中秋节,0
CN,2016-09-17,中秋节,0
CN,2016-09-18,中秋调休,1
CN,2016-10-01,国庆节,0
CN,2016-10-02,国庆节,0
CN,2016-10-03,国庆节,0
CN,2016-10-04,国庆节,0
CN,2016-10-05,国庆节,0
CN,2016-10-06,国庆节,0
CN,2016-10-07,国庆节,0
CN,2016-10-08,国庆调休,1
CN,2016-10-09,国庆调休,1
CN,2017-01-01,元旦,0
CN,2017-01-02,元旦补休,0
CN,2017-01-22,春节调休,1
CN,2017-01-27,春节,0
CN,2017-01-28,春节,0
CN,2017-01-29,春节,0
CN,2017-01-30,春节,0
CN,2017-01-31,春节,0
CN,2017-02-01,春节,0
CN,2017-02-02,春节,0
CN,2017-02-04,春节调休,1
CN,2017-04-01,清明调休,1
CN,2017-04-02,清明节,0
CN,2017-04-03,清明节,0
CN,2017-04-04,清明节,0
CN,2017-05-01,劳动节,0
CN,2017-05-27,端午调休,1
CN,2017-05-28,端午节,0
CN,2017-05-29,端午节,0
CN,2017-05-30,端午节,0
CN,2017-09-30,国庆调休,1
CN,2017-10-01,国庆节,0
CN,2017-10-02,国庆节,0
CN,2017-10-03,国庆节,0
CN,2017-10-04,中秋节,0
CN,2017-10-05,国庆节,0
CN,2017-10-06,国庆节,0
CN,2017-10-07,国庆节,0
CN,2017-10-08,国庆补休,0
CN,2017-12-30,监管调整,1
CN,2017-12-31,监管调整,1
CN,2018-01-01,元旦,0
CN,2018-02-11,春节调休,1
CN,2018-02-15,春节,0
CN,2018-02-16,春节,0
CN,2018-02-17,春节,0
CN,2018-02-18,春节,0
CN,2018-02-19,春节,0
CN,2018-02-20,春节,0
CN,2018-02-21,春节,0
CN,2018-02-24,春节调休,1
CN,2018-04-05,清明节,0
CN,2018-04-06,清明节,0
CN,2018-04-07,清明节,0
CN,2018-04-08,清明调休,1
CN,2018-04-28,劳动节调休,1
CN,2018-04-29,劳动节,0
CN,2018-04-30,劳动节,0
CN,2018-05-01,劳动节,0
CN,2018-06-18,端午节,0
CN,2018-09-24,中秋节,0
CN,2018-09-29,国庆调休,1
CN,2018-09-30,国庆调休,1
CN,2018-10-01,国庆节,0
CN,2018-10-02,国庆节,0
CN,2018-10-03,国庆节,0
CN,2018-10-04,国庆节,0
CN,2018-10-05,国庆节,0
CN,2018-10-06,国庆节,0
CN,2018-10-07,国庆节,0
CN,2018-12-29,元旦调休,1
CN,2018-12-30,监管调整,1
CN,2018-12-31,监管调整,1
CN,2019-01-01,元旦,0
CN,2019-02-02,春节调休,1
CN,2019-02-03,春节调休,1
CN,2019-02-04,春节,0
CN,2019-02-05,春节,0
CN,2019-02-06,春节,0
CN,2019-02-07,春节,0
CN,2019-02-08,春节,0
CN,2019-02-09,春节,0
CN,2019-02-10,春节,0
CN,2019-04-05,清明节,0
CN,2019-04-28,劳动节调休,1
CN,2019-05-01,劳动节,0
CN,2019-05-02,劳动节,0
CN,2019-05-03,劳动节,0
CN,2019-05-05,劳动节调休,1
CN,2019-06-07,端午节,0
CN,2019-09-13,中秋节,0
CN,2019-09-29,国庆调休,1
CN,2019-10-01,国庆节,0
CN,2019-10-02,国庆节,0
CN,2019-10-03,国庆节,0
CN,2019-10-04,国庆节,0
CN,2019-10-05,国庆节,0
CN,2019-10-06,国庆节,0
CN,2019-10-07,国庆节,0
CN,2019-10-12,国庆调休,1
CN,2020-01-01,元旦,0
CN,2020-01-19,春节调休,1
CN,2020-01-24,春节,0
CN,2020-01-25,春节,0
CN,2020-01-26,春节,0
CN,2020-01-27,春节,0
CN,2020-01-28,春节,0
CN,2020-01-29,春节,0
CN,2020-01-30,春节,0
CN,2020-02-01,春节调休,1
CN,2020-04-04,清明节,0
CN,2020-04-06,清明补休,0
CN,2020-04-26,劳动节调休,1
CN,2020-05-01,劳动节,0
CN,2020-05-02,劳动节,0
CN,2020-05-03,劳动节,0
CN,2020-05-04,劳动节,0
CN,2020-05-05,劳动节,0
CN,2020-05-09,劳动节调休,1
CN,2020-06-25,端午节,0
CN,2020-06-26,端午节,0
CN,2020-06-27,端午节,0
CN,2020-06-28,端午节调休,1
CN,2020-09-27,国庆调休,1
CN,2020-10-01,国庆节,0
CN,2020-10-02,国庆节,0
CN,2020-10-03,国庆节,0
CN,2020-10-04,国庆节,0
CN,2020-10-05,国庆节,0
CN,2020-10-06,国庆节,0
CN,2020-10-07,国庆节,0
CN,2020-10-08,国庆节,0
CN,2020-10-10,国庆调休,1
CN,2021-01-01,元旦,0
CN,2021-02-07,春节调休,1
CN,2021-02-11,春节,0
CN,2021-02-12,春节,0
CN,2021-02-13,春节,0
CN,2021-02-14,春节,0
CN,2021-02-15,春节,0
CN,2021-02-16,春节,0
CN,2021-02-17,春节,0
CN,2021-02-20,春节调休,1
CN,2021-04-04,清明节,0
CN,2021-04-05,清明补休,0
CN,2021-04-25,劳动节调休,1
CN,2021-05-01,劳动节,0
CN,2021-05-02,劳动节,0
CN,2021-05-03,劳动节,0
CN,2021-05-04,劳动节,0
